loanamount,totaldue,termdays,good_bad_flag,approval_time,interest_rate,creation_day_ofloan,bank_account_type,employment_status_clients,loan_counts,avg_repayment_delay,birthdate_missing,age,payment_ratio,repayment_speed,age_to_loan_ratio
30000.0,34500.0,30,0,1.0025,0.5,Tuesday,Other,Permanent,1,0.0,0,45,1.0135568711388026,1.764720332103851,4.36512378896561
15000.0,17250.0,30,0,1.006388888888889,0.5,Wednesday,Savings,Permanent,0,0.0,0,31,1.014533600817932,1.764720332103851,3.223836541715872
20000.0,22250.0,15,0,1.0016666666666667,0.75,Thursday,Other,Permanent,1,0.0,0,32,1.0107643030145983,1.764720332103851,3.231168643960376
10000.0,11500.0,15,0,1.0016666666666667,1.0,Thursday,Savings,Permanent,1,11.0,0,39,1.015172879313906,1.1157717826045193,4.234325227253212
40000.0,44000.0,30,0,1.0016666666666667,0.3333333333333333,Monday,Other,Permanent,1,0.0,0,30,1.008994146224817,1.764720332103851,2.8310808081519347
30000.0,39000.0,60,0,1.0016666666666667,0.5,Wednesday,Not Specified,Not Specified,1,0.0,1,32,1.0254493092292511,1.764720332103851,3.1040880277088783
10000.0,13000.0,30,0,1.0013888888888889,1.0,Monday,Savings,Permanent,1,0.0,0,28,1.0284830235182087,1.764720332103851,3.0400283682843576
30000.0,34500.0,30,0,1.0016666666666667,0.5,Monday,Savings,Not Specified,1,0.0,0,29,1.0135568711388026,1.764720332103851,2.813079775111171
10000.0,11500.0,15,0,1.002222222222222,1.0,Wednesday,Savings,Permanent,1,9.0,0,30,1.015172879313906,1.2041199826559246,3.2571732517332403
10000.0,11500.0,15,0,1.0019444444444443,1.0,Monday,Savings,Unemployed,1,0.0,0,32,1.015172879313906,1.764720332103851,3.474318135182123
10000.0,13000.0,30,0,1.0019444444444443,1.0,Monday,Savings,Permanent,1,0.0,0,34,1.0284830235182087,1.764720332103851,3.691463018631006
10000.0,13000.0,30,1,1.0016666666666667,1.0,Sunday,Savings,Permanent,1,7.0,0,29,1.0284830235182087,1.6513987701289583,3.1486008100087988
10000.0,11500.0,15,0,1.0019444444444443,1.0,Friday,Savings,Not Specified,1,0.0,0,52,1.015172879313906,1.764720332103851,5.64576696967095
40000.0,44000.0,30,0,1.0019444444444443,0.3333333333333333,Tuesday,Other,Permanent,1,0.0,0,40,1.008994146224817,1.764720332103851,3.7747744108692474
40000.0,44000.0,30,0,1.0025,0.3333333333333333,Tuesday,Other,Self-Employed,1,0.0,0,38,1.008994146224817,1.764720332103851,3.5860356903257844
10000.0,13000.0,30,0,1.0025,1.0,Friday,Savings,Permanent,1,0.0,0,32,1.0284830235182087,1.764720332103851,3.474318135182123
10000.0,11500.0,15,0,1.0016666666666667,1.0,Saturday,Other,Permanent,1,6.0,0,35,1.015172879313906,1.4248287484320887,3.800035460355447
10000.0,11500.0,15,1,1.0019444444444443,1.0,Monday,Savings,Not Specified,1,0.0,0,34,1.015172879313906,1.764720332103851,3.691463018631006
40000.0,44000.0,30,0,1.002222222222222,0.3333333333333333,Wednesday,Savings,Permanent,1,0.0,0,41,1.008994146224817,1.764720332103851,3.8691437711409775
30000.0,34500.0,30,0,1.0013888888888889,0.5,Saturday,Savings,Permanent,1,0.0,0,31,1.0135568711388026,1.764720332103851,3.007085276842976
10000.0,13000.0,30,0,1.0016666666666667,1.0,Wednesday,Savings,Permanent,1,0.0,0,39,1.0284830235182087,1.764720332103851,4.234325227253212
10000.0,11500.0,15,1,1.002222222222222,1.0,Sunday,Savings,Permanent,1,0.0,0,23,1.015172879313906,1.764720332103851,2.497166159662151
25000.0,28750.0,30,0,1.0016666666666667,0.5,Thursday,Savings,Not Specified,1,0.0,0,34,1.0138008555582332,1.764720332103851,3.357470550194773
10000.0,13000.0,30,0,1.0016666666666667,1.0,Tuesday,Savings,Permanent,1,0.0,0,35,1.0284830235182087,1.764720332103851,3.800035460355447
10000.0,13000.0,30,0,1.0016666666666667,1.0,Thursday,Savings,Permanent,1,0.0,0,29,1.0284830235182087,1.764720332103851,3.1486008100087988
10000.0,13000.0,30,0,1.002222222222222,1.0,Tuesday,Savings,Permanent,1,0.0,0,29,1.0284830235182087,1.764720332103851,3.1486008100087988
20000.0,24500.0,30,0,1.0019444444444443,0.75,Saturday,Savings,Permanent,1,0.0,0,24,1.0204908255953309,1.764720332103851,2.423376482970282
10000.0,11500.0,15,0,1.0019444444444443,1.0,Monday,Savings,Permanent,1,0.0,0,33,1.015172879313906,1.764720332103851,3.582890576906564
20000.0,22250.0,15,0,1.0202777777777778,0.75,Monday,Savings,Permanent,1,0.0,0,30,1.0107643030145983,1.764720332103851,3.0292206037128526
10000.0,13000.0,30,1,1.0194444444444444,1.0,Tuesday,Not Specified,Not Specified,1,33.0,1,32,1.0284830235182087,0.9738049131714716,3.474318135182123
10000.0,13000.0,30,0,1.0016666666666667,1.0,Thursday,Savings,Permanent,1,0.0,0,26,1.0284830235182087,1.764720332103851,2.822883484835475
20000.0,24500.0,30,0,1.0016666666666667,0.75,Friday,Savings,Not Specified,1,0.0,0,40,1.0204908255953309,1.764720332103851,4.03896080495047
20000.0,24500.0,30,0,1.002222222222222,0.75,Friday,Other,Permanent,1,0.0,0,32,1.0204908255953309,1.764720332103851,3.231168643960376
20000.0,24500.0,30,0,1.0194444444444444,0.75,Friday,Savings,Permanent,1,0.0,0,35,1.0204908255953309,1.764720332103851,3.5340907043316614
10000.0,13000.0,30,0,1.0202777777777778,1.0,Friday,Not Specified,Not Specified,1,10.0,1,32,1.0284830235182087,1.4320838960067028,3.474318135182123
20000.0,22250.0,15,0,1.002222222222222,0.75,Monday,Other,Student,1,0.0,0,23,1.0107643030145983,1.764720332103851,2.3224024628465205
10000.0,13000.0,30,0,1.0016666666666667,1.0,Saturday,Savings,Permanent,1,0.0,0,28,1.0284830235182087,1.764720332103851,3.0400283682843576
10000.0,11500.0,15,0,1.0016666666666667,1.0,Tuesday,Savings,Permanent,1,0.0,0,36,1.015172879313906,1.764720332103851,3.908607902079888
30000.0,34500.0,30,0,1.0016666666666667,0.5,Thursday,Not Specified,Not Specified,1,0.0,1,32,1.0135568711388026,1.764720332103851,3.1040880277088783
40000.0,44000.0,30,0,1.0038888888888888,0.3333333333333333,Wednesday,Other,Permanent,1,1.0,0,28,1.008994146224817,4.954196310386876,2.6423420876084727
10000.0,13000.0,30,0,1.0019444444444443,1.0,Wednesday,Not Specified,Not Specified,1,1.0,1,32,1.0284830235182087,4.954196310386876,3.474318135182123
